name,author,number,mark,publish_time,extract
柏杨白话版资治通鉴（全72册）,柏杨,1644人点评,87.00%,2020年4月,以史为鉴，知兴替，明得失。柏杨耗时十年，将《资治通鉴》译成现代语言，让一部原本只供帝王将相阅读的史书，飞入寻常百姓家。全书超过1500张地图及宫城图，让读者从图上读懂历史。柏杨查阅史书，增补历朝历代历史名家对相关事件的点评，又以现代人的观点独立撰述“柏杨曰”，使古今对话，思辨激撞，多方面、多角度解读历史事件。随文夹注历史典故、文化常识，标注今地名，帮助读者零基础读懂浩瀚巨著。中国当代文学研究会副会长、北京大学中文系主任陈晓明、中央电视台著名主持人白岩松、著名历史学家唐德刚诚意推荐。
半小时漫画大套装（套装共16册）,陈磊·半小时漫画团队,1495人点评,92.20%,2000年9月,《半小时漫画历史系列（共6册）》       看半小时漫画，通五千年历史，用漫画解读历史，开启读史新潮流！       《半小时漫画中国哲学史》       明明在看诸子百家的精彩掐架，看完却秒懂了中国哲学的奥妙精华！       《半小时漫画世界史》       简到崩溃的极简欧洲史、美国往事三部曲、一口气就能读完的日本史、肌肉猛男斯巴达300勇士、酷炫无比的加勒比海盗……       《半小时漫画唐诗宋词》系列（全4册）       看起来都是笑点，实际上全是考点，让你在哈哈大笑中重新爱上唐诗宋词。       别光笑，有考点！内含29篇初高中必考古诗文的注释+翻译，由原中考命题组组长忍住笑亲自出马撰写！       《半小时漫画经济学》系列（共4册）        用特别有趣的方式，讲清楚特别艰深的经济学原理！
半小时漫画历史系列（共7册）（中国史1-5+世界史1-2）,陈磊·半小时漫画团队,4738人点评,93.50%,2021年5月,看半小时漫画，通古今中外历史！ 其实是严谨的极简中国史+世界史。从春秋战国到宋元明清，从四大文明古国到欧洲、日本、美国……翻开本书，在笑出腹肌的同时通晓历史。《半小时漫画中国史1-5》：春秋战国像个班级；大秦过把瘾就死；楚汉之争八卦多；三国就三大战役；大唐盛世开门红；两宋繁荣特有钱；元朝皇帝换得快；大明皇大多逃不开斗外敌、斗奸臣、平内乱三件事；清朝皇帝非常努力，但挡不住世界改革的浪潮……《半小时漫画世界史1-2》：简到崩溃的极简欧洲史、美国往事三部曲、一口气就能读完的日本史。四大文明古国组团出道，为啥只剩中国屹立不倒？翻开本书，在铺天盖地的段子中，看懂另外三大文明古国的前世今生！
半小时漫画史记（全5册）,陈磊·半小时漫画团队,2788人点评,94.20%,2023年5月,半小时漫画史记大全集：1~5册。史记本来就是故事会，读起来一点都不累！ 陈磊（笔名：混子哥）领衔的半小时漫画团队通过诙谐的语言和手绘漫画的形式，鲜活生动地演绎了史记中的经典人物和故事。 司马迁写成史记，背后的故事原来这么燃！吴越之争：你若安好，那还得了！秦国：要逆袭，得坚持！如何和汉武帝愉快地做邻居？汉武帝的奇葩亲戚们都有谁？…… 读着读着你会发现，史记本来就是故事会，这样读起来一点都不累！ 翻开本书，在欢声笑语中读完史记！
半小时漫画中国地理：西藏、青海、云南、贵州,陈磊·半小时漫画团队,5711人点评,94.30%,2023年8月,从长江长城到黄山黄河，半小时尽览祖国大好河山！ 陈磊（混子哥）领衔的半小时漫画团队通过诙谐的语言和手绘漫画的形式，轻轻松松地就把中国三十四个省级行政区的地理知识讲得清清楚楚、明明白白。如果我们把全中国看成一个“班级”，那这事儿就好理解了！ 西藏是美术课代表：穿藏袍、骑牦牛、会画画。 青海是生活管理员：能送水、能拉面、能产矿。 云南是生物课代表：采菌子、养大象、种鲜花。 贵州是进步优等生：建大桥、算数据、产好茶。 翻开本书，从长江长城到黄山黄河，尽览祖国大好河山，越看越爱国！
比小说还好看的历史书（共15册）,传奇人物编辑部 张宏杰 郭宝平 王觉仁 等,179人点评,77.00%,2023年2月,套装共15册，分别为雾满拦江的人物传记《晚清民国风云人物列传 · 杜月笙》《晚清民国风云人物列传 ·张作霖》《晚清民国风云人物列传 ·李鸿章》、张宏杰中国史《乾隆：政治、爱情与性格》《大明王朝的七张面孔》《曾国藩的正面与侧面》《陋规：明清的腐败与反腐败》、郭宝平《最有权势的读书人：张居正》《蒋介石秘史之沉浮》《当权不过如此》《谋位》、王觉仁《历史无间道》《唐朝原来是这样》、王伟《从诸侯到帝国》《权力密码—当历史遇见经济学》
筚路维艰：中国社会主义路径的五次选择,萧冬连,4846人点评,95.70%,2014年10月,本书以简明清晰的文字对当代中国的历史轨迹作了逻辑梳理。作者认为，从执政党的建国方略、发展模式和基本政策角度考察，中国社会主义的实践路径经历了从实行新民主主义开始，途经仿效苏联模式、追寻赶超之路、发动继续革命和实行改革开放的五次历史选择。改革开放是实现中华民族复兴之梦的正途大道。
灿烂敦煌,樊锦诗 赵声良,352人点评,86.80%,2023年5月,敦煌石窟是闻名世界的佛教文化遗迹，也是古代东方艺术的宝库。季羡林先生认为，敦煌文化的灿烂，正是世界各族文化精粹的融合，也是中华文明几千年源远流长不断融会贯通的典范。著名敦煌学家樊锦诗、赵声良长年身处戈壁，在数十年研究的基础上合作撰写本书，介绍敦煌的历史与文化，解读石窟的塑像与绘画艺术，道出数代敦煌人的坚守与热诚。
曾国藩：唐浩明修订版（全集）,唐浩明,1.9万人点评,89.20%,2014年11月,晚清名臣曾国藩的风雨一生 修订老版讹误106处！一字未删，原貌呈现手稿！唐浩明独家作序认可版本！阅读收藏最佳版本！政商必读！最受中央国家机关干部欢迎的10本书之一，中纪委“读书推荐”栏目推荐学习。柳传志、宗庆后、白岩松鼎力推荐！历史小说巅峰之作，关于曾国藩最权威、最好看、最畅销的读本。了解千古名臣曾国藩的唯一经典，读懂国人处世智慧的殿堂之作。依据人民文学出版社三卷本《曾国藩》编校而成，全新修订原貌呈现。
曾国藩传（张宏杰全新增补版）,张宏杰,2.8万人点评,88.70%,2022年10月,一个持续奋斗者的升级之道。 曾国藩，没有显赫的家世，天赋堪称晚清同时代大人物当中最差，却官至两江总督、直隶总督、武英殿大学士，在复杂的时代变局中超越众人，成就最大，被誉为大清“中兴第一名臣”，且最后全身而退。他的人生经历，无论是过去还是现在都给人以特别的启示。 他出身平常，家族五六百年没出过秀才，可谓典型的小镇青年。 他智商平常，考了7次才中秀才，却以笨功夫成功打通了科举之路，顺利进入翰林院。他一生崇尚笨拙，以扎实而非机巧取胜。 他踌躇满志进京，面对全国精英，发现自己见识狭隘、观念鄙俗，陷入自卑和焦虑。三十而立，他立志学做圣人，研读经典，广交朋友，提高自我管理能力，在京期间飞速升迁。 他善于把握机会和创造机会，天下大乱之际，一介书生独创湘军，统率群雄。对抗太平天国，屡战屡败，甚至两次投江自尽，多次深陷绝境。47岁时更被皇帝弃用，陷入人生低谷。 蛰居老家两年，他反思自我，最终大悔大悟。重新出山后，为人处世脱胎换骨，不仅清除了政治敌人，而且以“结硬寨、打呆仗”战胜了军事宿敌太平天国，位极人臣。 他眼光长远，审时度势，面对与洋人的差距，率先抛弃落后观念，倡导洋务运动，师夷长技以制夷。 他走过的每一步都成为人生精进的基石，最终从笨人到圣人，成为大清王朝的最后领航者和儒家文化的最后一个偶像。 翻开本书，看曾国藩如何以一种笨拙的精神，诠释一个持续奋斗者的升级之道。
