class,name,author,number,mark,publish_time,extract
文学,中国文学鉴赏辞典大系（套装共17部22册）,上海辞书出版社文学鉴赏辞典编纂中心,213人点评,97.90%,2020年9月,本套装含17部书，共22册。上海辞书出版社举全国相关领域的一流专家学者之力，历时三十余年，囊括了自先秦以迄现代的各种文学体裁名作近2万篇（首）。出版以来，深受各层次读者的欢迎，产生了持续、广泛的社会影响力，累计发行量已达上千万册，同时，其整体质量也得到了学界的高度评价，影响及于海外。2015年，入选国家新闻出版广电总局“首届向全国推荐中华优秀传统文化普及图书”。
历史,南京大屠杀,张纯如,3.6万人点评,97.40%,2013年1月,一部令国人流泪的书 1937年12月，日军攻入中国古都南京。几周之内，30多万中国平民和士兵遭到有计划地强暴、折磨和屠杀——死亡人数超过广岛和长崎原子弹爆炸遇难人数的总和。 张纯如不仅在书中详述了日军疯狂暴行的细节，而且分析了在军国主义文化背景下成长起来的日本士兵对人类生命的漠视。张纯如对南京大屠杀的幸存者进行了大量采访，并首次发掘了许多重要文献。全书先是从日本士兵、军官为什么完全脱离了人类基本的行为规范，日本学校和教科书从心理层面向学生灌输对中国人民的仇恨和蔑视，以及高度军事化的教育体制等多个方面阐述了南京大屠杀发生的根源性原因。
哲学,谈美,朱光潜,43人点评,97.00%,2020年9月,《谈美》写于1932年，是继《给青年的十二封信》之后的“第十三封信”，开明书店出版本书时，副题为《给青年的第十三封信》。《谈美》虽有《文艺心理学》的“缩写本”之称，但却并非《文艺心理学》的节略本，而是自成一体。在书中，朱光潜先生没有一丝掉书袋的气味，竟如同与一位亲密的朋友对话一般明白晓畅。作者认为“人心之怀，由于‘未能免俗’”，《谈美》的创作则只为一个目的，就是“研究如何‘免俗’”。朱自清先生为《谈美》作序时评价到：在这本书种，“孟实先生引读者由艺术走入人生，又将人生纳入艺术之中”。
文学,撒哈拉的故事,三毛,9692人点评,96.80%,2022年4月,传奇作家三毛代表作，华语文学绕不开的名作，无数人心中的华语散文“天花板”。豆瓣超42万读者9.2高分推荐，稳居豆瓣读书总榜前15！崭新修订，优选篇目，完整呈现三毛撒哈拉时期的生活与创作。一千种生活可能，一本书一网打尽！带你逃离庸常，给你“闯”的勇气，“永远在路上”永远让人着迷！无数人梦与远方的起点，无数人闪闪发光的开端！齐豫、林青霞、史航、贾平凹、饶雪漫、鲁豫、寂地、陈妍希、姚晨……各界名人都在读三毛！ 记录三毛一生中快乐的高光时刻，纪念生命中一去不返的“黄金时代”！
历史,启功口述历史,启功口述,92人点评,96.40%,2022年9月,本书是启功九十岁以后的口述，经启功的弟子、北京师范大学教授赵仁珪整理而成。在本书中，启功回顾了自己一生的经历，主要内容有启功的家族、启功的童年和求学之路、启功与辅仁大学、启功与师大和启功的学艺回顾。他的一生并没有投入到惊天动地的政治斗争的最前沿和时代旋涡的最中心，过的基本是书斋的生活。但他特殊的家庭背景、他特殊的生活经历、他在20世纪中国文化史中的特殊才能和地位，使他的书斋生活更为独特、精彩。从这里我们可以瞥见现当代很多历史的痕迹，也可以窥见当时著名文艺沙龙和著名文人的活动踪影。这些是其他人很难提供的珍贵资料。
文学,卡拉马佐夫兄弟（套装上下册）（陀思妥耶夫斯基文集2015）,陀思妥耶夫斯基,4083人点评,96.30%,2014年12月,本书系俄国大作家陀思妥耶夫斯基代表作之一。小说通过一桩真实的弑父案，描写老卡拉马佐夫同三个儿子即两代人之间的尖锐冲突。老卡拉马佐夫贪婪好色，独占妻子留给儿子们的遗产，并与长子德米特里为一个风流女子争风吃醋。一天黑夜，德米特里疑心自己的情人去跟老头儿幽会，便闯入家园，一怒之下，差点儿把老头儿砸死。他仓皇逃离后，躲在暗中装病的老卡拉马佐夫的私生子斯乜尔加科夫，悄然杀死老爷，造成了一桩震惊全俄的扑朔迷离的血案，从而引发了一连串惊心动魄的事件。作品展示一个错综复杂的社会家庭、道德和人性的悲剧主题，体现了作家一生的最高艺术成就。
历史,地理的故事（英文版）,（美)亨德里克·威廉·房龙,30人点评,96.20%,2016年6月,《地理的故事》撰成于1932年，几个月内在美国即销售近14万册，一年间始终居“非虚构作品”销量之最。英国版首发13万8千册，另有德文、西班牙文、意大利文、匈牙利文、葡萄牙文、瑞典文等版本面世，销量无法统计，被视为人类出版史上之“奇迹”。1933年，此书被引进中国，当年就出了三种中文译本，此后《地理的故事》又不断被重译出版，还没有哪一部地理著作，拥有如此众多的中国读者……
文学,这才是我说的,鲁迅,295人点评,96.10%,"99,477",《这才是我说的》是鲁迅先生作品的“小全集”，选取杂文、散文、小说、书信、日记、诗歌等共42篇作品，一本书看全“六边形战士”鲁迅的多面人生。  虽然鲁迅先生已经被网友们封为互联网“梗王”，但有很多梗并非鲁迅所言。《这才是我说的》一书中，每字每句包括标点符号都出自鲁迅原文。其中《从百草园到三味书屋》《社戏》《狗·猫·鼠》等我们曾被要求背诵的名篇，重读会有新的收获；《我的失恋》《我要骗人》《论“他妈的！”》体验大先生逐渐暴躁的小情绪，还有多篇从日记中精摘出来的微观探寻：鲁迅无事时日记走极简风，有事就买糖给生活加点甜；与许广平书信往来的《两地书》选篇将犀利哥的铁汉柔情暴露无遗。  在众多鲁迅作品集中，这本《这才是我说的》可能是极易见字识人并且能对作者做出全面认识的一本。享受觉醒年代的恢宏乐章里，长期被我们忽略或听而不闻的小音符，重新认识趣味、情商、审美都在线的鲁迅先生！
文学,跨山海 : 14位古代诗词偶像的真实人生,《千古风流人物》项目组,40人点评,96.00%,2022年9月,人生如逆旅，苦难如山海。在时代的洪流下，诗人与我们都是微尘。 山河难安、壮志难酬、佳偶难成、恩义难全……纵然身处坎坷、际遇多舛，他们仍能走出心灵的困境，收获旷达超脱的生命感悟，留下一篇篇绝世美文。相隔千年，他们的面容依然鲜活可敬，他们的诗词给我们留下最宝贵的礼物：当遭遇苦难、迷惘、焦虑、彷徨、不安时，它可以慰藉心灵，让我们笑看人生山海，向阳而生。
哲学,六祖坛经,慧能,869人点评,95.90%,2020年11月,《六祖坛经》，佛教经典，亦称《六祖大师法宝坛经》，简称《坛经》。禅宗六祖慧能说，其弟子法海集录。是禅宗的主要经典之一。
